name,pack_size,price_rs,mrp_rs,discount_text,out_of_stock,img_url,product_url,raw_price_block
Custard Apple (Sitafal) Semi Ripe,2 pcs,107,50,₹23 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/custard-apple-sitafal-semi-ripe/pvid/156fecc5-f2a0-4b51-8a4e-bceaccf2264a,
,,,,,,,https://www.zeptonow.com/pn/avocado-hass-imported/pvid/4db7d95b-1bc9-429a-9456-f4393526796e,
Buy Dragon Fruit Imported Online - Price @ ₹67 | Instant Delivery | Zepto,,,,,no,"https://cdn.zeptonow.com/production/ik-seo/tr:w-1000,ar-3000-3000,pr-true,f-avif,q-80/cms/product_variant/10d8ab92-e949-49a1-87ef-421d9562e412/10d8ab92-e949-49a1-87ef-421d9562e412-jpeg.jpeg",https://www.zeptonow.com/pn/dragon-fruit-imported/pvid/5c81bb1c-4eda-4ac6-9467-dbdd8d077796,
"Pineapple Chunks, 200 g",200 g,95,50,₹30 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/pineapple-chunks-200-g/pvid/c04efb2b-363d-4350-8d6a-a6b4cefcdbd4,
Pineapple Slice,200 g,105,50,₹23 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/pineapple-slice/pvid/97617ef3-44e8-4c54-9599-a01e0a905884,
Avocado Indian Premium Semi Ripe,1 pc,86,50,₹18 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/avocado-indian-premium-semi-ripe/pvid/10a847f5-b72b-42b8-b1b7-619a26bccf90,
Buy undefined Online - Price @ ₹0 | Instant Delivery | Zepto,,,,,no,https://cdn.zeptonow.com/web-static-assets-prod/artifacts/13.32.0/images/header/primary-logo.svg,https://www.zeptonow.com/pn/strawberry/pvid/cf8e41c6-8b18-461f-95b4-02876a22edce,
Pomegranate Small,1 kg,309,10,₹14 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/pomegranate-small/pvid/99dd9fd0-1b06-4649-b53f-cf756f60b8ea,
Beetroot,500 g X 2,84,50,₹34 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/beetroot-500-g-combo/pvid/20b3e088-7254-4355-8955-e25ebd552f9e,
Ash Gourd,1 pc,117,50,₹25 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/ash-gourd/pvid/aa891942-3ce5-437e-bb11-0120ae085874,
Bottle Gourd,1 pc,43,50,₹9 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/bottle-gourd/pvid/f613462d-a4c2-4e35-9388-aa520fd90ef4,
Lady Finger,250 g,32,50,₹12 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/lady-finger/pvid/2c89bcce-7f60-4d52-9613-3ca6c10fe527,
Potato,1 Pack (900 -1000 gm),67,50,₹26 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/potato/pvid/f72c0479-1ae2-44fd-a65f-ca569d4f8c72,
Lemon,250 g,28,50,₹9 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/lemon/pvid/3e99d6ed-9714-4c6c-809a-c767e47dba5f,
Popular Essentials Cinnamon Whole (Dalchini),1 pack (25 g),35,50,₹8 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/popular-essentials-cinnamon-whole-dalchini/pvid/70b6574c-77b3-4715-a370-8bba207c0f4a,
Popular Essentials Saunf/Fennel Seeds,1 pack (100 g),90,50,₹45 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/popular-essentials-saunffennel-seeds/pvid/870056e6-aad4-43e6-8e38-e757dc2b028c,
Buy undefined Online - Price @ ₹0 | Instant Delivery | Zepto,,,,,no,https://cdn.zeptonow.com/web-static-assets-prod/artifacts/13.32.0/images/header/primary-logo.svg,https://www.zeptonow.com/pn/blueberry-imported/pvid/025d077e-d19d-4792-a4f3-b8dfcd79df34,
Papaya,1 pc,83,50,₹25 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/papaya/pvid/105c48cc-d5cb-4279-ac58-fe36cc92d51d,
Dragon Fruit Imported,1 pc,95,50,₹31 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/dragon-fruit-imported/pvid/85a8b981-aac7-4344-9a28-9818e50b790d,
Mushroom Button,200 g,81,50,₹35 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/mushroom-button/pvid/178b3f0f-c01d-4065-8f5c-d1902cbb5d51,
Lettuce Iceberg,250 g,40,50,₹11 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/lettuce-iceberg/pvid/370bf2eb-11a9-40cb-915a-998162d73593,
