timestamp,URL,name,price,DISCOUNT,weight
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Heritage Fresh Paneer(1pc) & Onion(1pc) Combo,₹158,20% Off,2 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Pizza pasta must-haves,₹244,30% Off,4 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Amul Masti Curd Pouch(1pc) & Tomato Local(1pc) Combo,₹47,14% Off,2 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Heritage Total Curd Pouch 475.0 Gram(1pc) & Tomato Local(1pc) Combo,₹46,17% Off,2 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Nandini Standardised Fresh Milk (Pouch Orange)(1pc) & Cucumber Green(1pc) Combo,₹57,22% Off,2 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,The Health Factory Zero Maida Bread - 100% Whole Wheat(1pc) & Tomato Local(1pc) Combo,₹74,15% Off,2 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Nandini Fresh Toned Fresh Milk (Pouch Blue)(1pc) & Onion(1pc) Combo,₹74,28% Off,2 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Organic Tomato Country 500 g Combo,₹82,18% Off,500 g X 2
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Chinese Essentials,₹193,29% Off,4 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Organic Coccinia 250 g Combo,₹96,47% Off,250 g X 3
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Residue Free Tomato Hybrid 500 g Combo,₹66,21% Off,500 g X 2
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Tomato Local,₹16,30% Off,500 g
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Carrot Local,₹32,52% Off,500 g
