timestamp,name,price,weight,URL
02-04-2025 01:36,White Bitter Gourd (Bili Haagalakaayi),18,White Bitter Gourd (Bili Haagalakaayi),https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Raw Papaya (Parangikaayi),53,Raw Papaya (Parangikaayi),https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Chandramukhi Potato (Aloo Gadde),85,Chandramukhi Potato (Aloo Gadde),https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Baby Lady's Finger  (Bendekaayi),11,Baby Lady's Finger  (Bendekaayi),https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Potato (Aloo Gadde),117,Potato (Aloo Gadde),https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Pidikaranai,95,Pidikaranai,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Snake Gourd (Padavalakaayi),60,Snake Gourd (Padavalakaayi),https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Ridge Gourd (Herekaayi),26,Ridge Gourd (Herekaayi),https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Carrot,26,Carrot,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Red Bell Pepper,34,Red Bell Pepper,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Long Purple Brinjal (Udda Badanekaayi),80,Long Purple Brinjal (Udda Badanekaayi),https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Garlic & Ginger,73,Garlic & Ginger,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Pooja Coconut (Small),168,Pooja Coconut (Small),https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,D'lecta Shredded Mozzarella Cheese,118,D'lecta Shredded Mozzarella Cheese,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,D'lecta Cheese Slices,180,D'lecta Cheese Slices,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,Britannia Cheese Slices,140,Britannia Cheese Slices,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,D'lecta Cream Cheese Spread,200,D'lecta Cream Cheese Spread,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,D'lecta Natural Feta Cheese Block,120,D'lecta Natural Feta Cheese Block,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,D'lecta Cheese Spread,99,D'lecta Cheese Spread,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,Go Cheese Slices,190,Go Cheese Slices,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,Amul Processed Cheese Slices,145,Amul Processed Cheese Slices,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,D'lecta Natural Cheddar Cheese Slices,220,D'lecta Natural Cheddar Cheese Slices,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,D'lecta 100% Mozzarella Cheese Block,165,D'lecta 100% Mozzarella Cheese Block,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,Milky Mist Cheese Slice,149,Milky Mist Cheese Slice,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,Amul Diced Cheese Blend,550,Amul Diced Cheese Blend,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,D'lecta Processed Cheese Block,170,D'lecta  Processed Cheese Block,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,Milky Mist Processed Cheese Cubes,150,Milky Mist Processed Cheese Cubes,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,D'lecta Processed Cheese Slices,350,D'lecta Processed Cheese Slices,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:37,Akshayakalpa Organic Artisan Cheese Slices Pack,360,Akshayakalpa Organic Artisan Cheese Slices Pack,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Timestamp,Name,Price,Weight,URL
02-04-2025 01:39,Beetroot,26,Beetroot,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
