Categories,URL
Green and Herbal Tea,https://www.swiggy.com/instamart/category-listing?categoryName=Tea%2C+Coffee+and+More&custom_back=true&filterId=67a8e35fc0d80a0001b0cd34&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Health Drink Mixes,https://www.swiggy.com/instamart/category-listing?categoryName=Tea%2C+Coffee+and+More&custom_back=true&filterId=67a8e21862ab1200019a75ae&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Hot Chocolate,https://www.swiggy.com/instamart/category-listing?categoryName=Tea%2C+Coffee+and+More&custom_back=true&filterId=67b58c29df43fb00011f0a76&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Protein Powders,https://www.swiggy.com/instamart/category-listing?categoryName=Tea%2C+Coffee+and+More&custom_back=true&filterId=67a8e440839647000132e218&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Premixes,https://www.swiggy.com/instamart/category-listing?categoryName=Tea%2C+Coffee+and+More&custom_back=true&filterId=67a8e3f1839647000132e217&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Fruit Syrups and Powders,https://www.swiggy.com/instamart/category-listing?categoryName=Tea%2C+Coffee+and+More&custom_back=true&filterId=67a8e2d24501a50001f7c7cf&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Newly Added,https://www.swiggy.com/instamart/category-listing?categoryName=Tea%2C+Coffee+and+More&custom_back=true&filterId=67b4835ce3322000017747f2&storeId=1135721&taxonomyType=Speciality+taxonomy+1
,
Dry Fruits and Seeds Mix,
Top Deals,https://www.swiggy.com/instamart/category-listing?categoryName=Dry+Fruits+and+Seeds+Mix&custom_back=true&taxonomyType=Speciality+taxonomy+1
Almonds,https://www.swiggy.com/instamart/category-listing?categoryName=Dry+Fruits+and+Seeds+Mix&custom_back=true&filterId=678f80eb6d33590001d284cc&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Cashews,https://www.swiggy.com/instamart/category-listing?categoryName=Dry+Fruits+and+Seeds+Mix&custom_back=true&filterId=678f810a6d33590001d284cd&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Dates,https://www.swiggy.com/instamart/category-listing?categoryName=Dry+Fruits+and+Seeds+Mix&custom_back=true&filterId=678f813d0a23800001ee3d5e&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Pista & Walnuts,https://www.swiggy.com/instamart/category-listing?categoryName=Dry+Fruits+and+Seeds+Mix&custom_back=true&filterId=678f81e96d33590001d284ce&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Makhana and Seeds,https://www.swiggy.com/instamart/category-listing?categoryName=Dry+Fruits+and+Seeds+Mix&custom_back=true&filterId=678f819b85f8990001ad961e&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Dried Fruits and Berries,https://www.swiggy.com/instamart/category-listing?categoryName=Dry+Fruits+and+Seeds+Mix&custom_back=true&filterId=678f815d0a23800001ee3d5f&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Nuts and Seeds Mix,https://www.swiggy.com/instamart/category-listing?categoryName=Dry+Fruits+and+Seeds+Mix&custom_back=true&filterId=678f81c70a23800001ee3d61&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Gift Packs,https://www.swiggy.com/instamart/category-listing?categoryName=Dry+Fruits+and+Seeds+Mix&custom_back=true&filterId=678f817c0a23800001ee3d60&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Newly Added,https://www.swiggy.com/instamart/category-listing?categoryName=Dry+Fruits+and+Seeds+Mix&custom_back=true&filterId=67b8663fb3a94c000165d2c4&storeId=1135721&taxonomyType=Speciality+taxonomy+1
,
Meat and Seafood,
Bestsellers,https://www.swiggy.com/instamart/category-listing?categoryName=Meat+and+Seafood&custom_back=true&taxonomyType=Speciality+taxonomy+1
Chicken,https://www.swiggy.com/instamart/category-listing?categoryName=Meat+and+Seafood&custom_back=true&filterId=67adb1d1e76f100001151f94&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Mutton,https://www.swiggy.com/instamart/category-listing?categoryName=Meat+and+Seafood&custom_back=true&filterId=67adbc95c51cb000011dcb1e&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Fish and Seafood,https://www.swiggy.com/instamart/category-listing?categoryName=Meat+and+Seafood&custom_back=true&filterId=67adb28fc38ee700010bf801&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Frozen Food,https://www.swiggy.com/instamart/category-listing?categoryName=Meat+and+Seafood&custom_back=true&filterId=67adb924adfce9000164b304&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Eggs,https://www.swiggy.com/instamart/category-listing?categoryName=Meat+and+Seafood&custom_back=true&filterId=67adb279adfce9000164b303&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Cold Cuts,https://www.swiggy.com/instamart/category-listing?categoryName=Meat+and+Seafood&custom_back=true&filterId=67adb261adfce9000164b302&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Masalas,https://www.swiggy.com/instamart/category-listing?categoryName=Meat+and+Seafood&custom_back=true&filterId=67adbc0fc51cb000011dcb1d&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Paste and Spreads,https://www.swiggy.com/instamart/category-listing?categoryName=Meat+and+Seafood&custom_back=true&filterId=67adbddee76f100001151f96&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Plant Based Meat,https://www.swiggy.com/instamart/category-listing?categoryName=Meat+and+Seafood&custom_back=true&filterId=67adbe20c51cb000011dcb1f&storeId=1135721&taxonomyType=Speciality+taxonomy+1
,
SNACKS & DRINKS,
,
Chips and Namkeens,
Bestsellers,https://www.swiggy.com/instamart/category-listing?categoryName=Chips+and+Namkeens&custom_back=true&taxonomyType=Speciality+taxonomy+3
Chips and Crisps,https://www.swiggy.com/instamart/category-listing?categoryName=Chips+and+Namkeens&custom_back=true&filterId=65ed48c5e0c0d90001a7bca5&storeId=1135721&taxonomyType=Speciality+taxonomy+3
Nachos,https://www.swiggy.com/instamart/category-listing?categoryName=Chips+and+Namkeens&custom_back=true&filterId=65ed497b7cb0200001153d7f&storeId=1135721&taxonomyType=Speciality+taxonomy+3
Puffs and Crunchies,https://www.swiggy.com/instamart/category-listing?categoryName=Chips+and+Namkeens&custom_back=true&filterId=65ed497b7cb0200001153d80&storeId=1135721&taxonomyType=Speciality+taxonomy+3
Newly Added,https://www.swiggy.com/instamart/category-listing?categoryName=Chips+and+Namkeens&custom_back=true&filterId=65ed4f0b9ac4d600018f1154&storeId=1135721&taxonomyType=Speciality+taxonomy+3
Bhujia and Namkeens,https://www.swiggy.com/instamart/category-listing?categoryName=Chips+and+Namkeens&custom_back=true&filterId=65ed4a54e0c0d90001a7bca6&storeId=1135721&taxonomyType=Speciality+taxonomy+3
Nuts and Makhana,https://www.swiggy.com/instamart/category-listing?categoryName=Chips+and+Namkeens&custom_back=true&filterId=65ed4bb2e0c0d90001a7bca9&storeId=1135721&taxonomyType=Speciality+taxonomy+3
Indian Snacks,https://www.swiggy.com/instamart/category-listing?categoryName=Chips+and+Namkeens&custom_back=true&filterId=65ed4c0ae0c0d90001a7bcaa&storeId=1135721&taxonomyType=Speciality+taxonomy+3
Popcorn,https://www.swiggy.com/instamart/category-listing?categoryName=Chips+and+Namkeens&custom_back=true&filterId=65ed4da27cb0200001153d84&storeId=1135721&taxonomyType=Speciality+taxonomy+3
Gift Hampers,https://www.swiggy.com/instamart/category-listing?categoryName=Chips+and+Namkeens&custom_back=true&filterId=671a209411fa51000159d573&storeId=1135721&taxonomyType=Speciality+taxonomy+3
Healthy Snacking,https://www.swiggy.com/instamart/category-listing?categoryName=Chips+and+Namkeens&custom_back=true&filterId=65ed4dea7cb0200001153d85&storeId=1135721&taxonomyType=Speciality+taxonomy+3
Protein Chips,https://www.swiggy.com/instamart/category-listing?categoryName=Chips+and+Namkeens&custom_back=true&filterId=65ed4e8608159f0001252830&storeId=1135721&taxonomyType=Speciality+taxonomy+3
Snack Bars,https://www.swiggy.com/instamart/category-listing?categoryName=Chips+and+Namkeens&custom_back=true&filterId=6666a8a07cb02000011547ae&storeId=1135721&taxonomyType=Speciality+taxonomy+3
Party Packs,https://www.swiggy.com/instamart/category-listing?categoryName=Chips+and+Namkeens&custom_back=true&filterId=65ed4ea67cb0200001153d87&storeId=1135721&taxonomyType=Speciality+taxonomy+3
,
Ice Cream and Frozen Desserts,
Tubs & Party Packs,https://www.swiggy.com/instamart/category-listing?categoryName=Ice+Cream+and+Frozen+Desserts&custom_back=true&taxonomyType=Speciality+taxonomy+3
Cones,https://www.swiggy.com/instamart/category-listing?categoryName=Ice+Cream+and+Frozen+Desserts&custom_back=true&filterId=65eecb1fe0c0d90001a7bcc5&storeId=1135721&taxonomyType=Speciality+taxonomy+3
Sticks,https://www.swiggy.com/instamart/category-listing?categoryName=Ice+Cream+and+Frozen+Desserts&custom_back=true&filterId=65eecbef9ac4d600018f116c&storeId=1135721&taxonomyType=Speciality+taxonomy+3
